CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000746,DONUT LAND,19350 SW BOONES FERRY RD,TUALATIN,OR,97062-9084,USA,,,,,,,,,
1000747,COUGAR MOUNTAIN BAKI,4224 24TH AVE W,SEATTLE,WA,98199-1216,USA,,,,,,,,,
1000748,SESAME DONUT,6990 SW BEAVERTON HILLSDALE HWY,PORTLAND,OR,97225-1461,USA,,,,,,,,,
1000749,SUZIE'S CAKES,2302 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA,,,,,,,,,
1000754,COLLECTIONS J&R DONU,9638 GRAVELLY LAKE DR SW,TACOMA,WA,98499-1516,USA,,,,,,,,,
1000755,GOLDEN BAKE FOOD PRO,12120 PARK ST,CERRITOS,CA,90703-1842,USA,,,,,,,,,
1000759,MRS FIELDS COOKIES 5,1948 W PULLMAN RD  G24,MOSCOW,ID,83843-4013,USA,,,,,,,,,
1000761,SUNRISE DONUTS CLOSE,3318 181ST PL NE,REDMOND,WA,98052-5933,USA,,,,,,,,,
1000762,HANK'S THRIFTWAY,661 SE BASELINE ST,HILLSBORO,OR,97123-4183,USA,,,,,,,,,
1000763,SUNNY DONUTS LLC,4500 PACIFIC HWY E,FIFE,WA,98424-2685,USA,,,,,,,,,
1000765,PORTLAND SPECIALTY B,3423 NE 172ND PL,PORTLAND,OR,97230-5071,USA,,,,,,,,,
1000768,COLLECTIONS BUBBLES,15215 KESWICK ST,VAN NUYS,CA,91405-1014,USA,,,,,,,,,
1000771,THE GRACE CAFE INC,1065 E SUNSET DR,BELLINGHAM,WA,98226-3510,USA,,,,,,,,,
1000774,ALKI BAKERY & CAFE I,8815 S 190TH ST,KENT,WA,98031-1270,USA,,,,,,,,,
1000776,EUROBAKE,5917 NE 80TH AVE,PORTLAND,OR,97218-2891,USA,,,,,,,,,
1000777,COLLECTIONS PAVE BAK,2613 COLBY AVE,EVERETT,WA,98201-2921,USA,,,,,,,,,
1000778,EVERGREEN DONUTS,20101 44TH AVE W,LYNNWOOD,WA,98036-6745,USA,,,,,,,,,
1000781,AN XUYEN BAKERY - SE,19043 INTERNATIONAL BLVD,SEATAC,WA,98188-5207,USA,,,,,,,,,
1000782,HENRY'S DONUTS - MUK,10924 MUKILTEO SPEEDWAY,MUKILTEO,WA,98275-5051,USA,,,,,,,,,
1000784,COLLECTIONS BEAVERTO,12375 SW BROADWAY ST,BEAVERTON,OR,97005-2184,USA,,,,,,,,,
1000786,MOSTLY MUFFINS,22330 68TH AVE S,KENT,WA,98032-1948,USA,,,,,,,,,
1000790,SCHWARTZ BROS BAKERY,1010 SW 34TH ST,RENTON,WA,98057-4813,USA,,,,,,,,,
1000791,PIROSHKY - PIROSHKY,1908 PIKE PL,SEATTLE,WA,98101-1013,USA,,,,,,,,,
1000792,COLLECTIONS UPPER CR,41 B AVE,LAKE OSWEGO,OR,97034-3130,USA,,,,,,,,,
1000793,CINNAMON WORKS,1530 PIKE PL,SEATTLE,WA,98101-1527,USA,,,,,,,,,
1000795,FACTORY DONUT,12505 NE 144TH ST,KIRKLAND,WA,98034-1532,USA,,,,,,,,,
1000798,ENER G FOODS INC,5960 1ST AVE S,SEATTLE,WA,98108-3248,USA,,,,,,,,,
1000801,LAFEEN FAMILY PRIDE,1466 ELECTRIC AVE,BELLINGHAM,WA,98229-2482,USA,,,,,,,,,
1000803,MARSEE FOODS INC,9100 N VANCOUVER AVE,PORTLAND,OR,97217-7560,USA,,,,,,,,,
1000804,COLLECTIONS OLD MILL,15708 PALATINE AVE N,SHORELINE,WA,98133-5918,USA,,,,,,,,,
1000805,SCOTTY'S JUICETREE I,14026 SE 238TH LN,KENT,WA,98042-3835,USA,,,,,,,,,
1000806,CREATIVE CAKE DESIGN,17674 SE 301ST ST,KENT,WA,98042-5715,USA,,,,,,,,,
1000810,LE DONUT - AUBURN,3840 A ST SE,AUBURN,WA,98002-3856,USA,,,,,,,,,
1000813,COEUR D'ALENE,6701 S 216TH ST,KENT,WA,98032-1389,USA,,,,,,,,,
1000814,GOLDEN CROWN BAKERY,12310 HIGHWAY 99,EVERETT,WA,98204-8033,USA,,,,,,,,,
1000815,OOSTERWYK'S DUTCH BA,1513 3RD ST,MARYSVILLE,WA,98270-5001,USA,,,,,,,,,
1000816,COOKIES IN BLOOM,11 103RD AVE NE,BELLEVUE,WA,98004-4965,USA,,,,,,,,,
1000819,WESTERNCO DONUTS - L,11916 PACIFIC HWY SW,TACOMA,WA,98499-1034,USA,,,,,,,,,
1000820,MEE SUM PASTRY,5901 22ND AVE S,SEATTLE,WA,98108-2942,USA,,,,,,,,,
1000822,PASCO CORP OF AMERIC,6500 N MARINE DR,PORTLAND,OR,97203-6484,USA,,,,,,,,,
1000823,PAO'S DONUT & MUFFIN,6919 6TH AVE,TACOMA,WA,98406-1705,USA,,,,,,,,,
1000825,DELITE BAKERY INC,2701 15TH AVE S,SEATTLE,WA,98144-5024,USA,,,,,,,,,
1000826,DONUT STAR - AUBURN,914 AUBURN WAY S,AUBURN,WA,98002-6101,USA,,,,,,,,,
1000827,LUCKY DONUT,140 SW 152ND ST,SEATTLE,WA,98166-2306,USA,,,,,,,,,
1000831,INNOVATIVE SOLUTIONS,6755 S 216TH ST,KENT,WA,98032-1389,USA,,,,,,,,,
1000832,WESTERNCO DONUT - TA,9312 SOUTH TACOMA WAY,TACOMA,WA,98499-4474,USA,,,,,,,,,
1000833,LOTUS DONUTS,6560 5TH AVE S,SEATTLE,WA,98108-3432,USA,,,,,,,,,
1000835,EDMONDS BAKERY,418 MAIN ST,EDMONDS,WA,98020-3138,USA,,,,,,,,,
1000838,BANKRUPTCY 11 BEAR C,2518 S PACIFIC HWY,MEDFORD,OR,97501-8724,USA,,,,,,,,,
1000840,WESTERNCO DONUT - SU,251 SUNSET BLVD N  B,RENTON,WA,98057-5517,USA,,,,,,,,,
1000841,COUNTRYSIDE DONUTS -,21919 66TH AVE W,MOUNTLAKE TERRACE,WA,98043-2189,USA,,,,,,,,,
1000843,COUNTRYSIDE DONUTS -,11613 124TH AVE NE,KIRKLAND,WA,98034-8106,USA,,,,,,,,,
1000844,COUNTRYSIDE DONUTS -,10032 MAIN ST,BOTHELL,WA,98011-3424,USA,,,,,,,,,
1000845,WAGNERS BAKERY & DEL,1013 CAPITOL WAY S,OLYMPIA,WA,98501-1211,USA,,,,,,,,,
1000846,CONNIE'S DONUTS,4065 PACIFIC AVE,TACOMA,WA,98418-7831,USA,,,,,,,,,
1000847,OLSONS BAKING COMPAN,6414 204TH ST SW,LYNNWOOD,WA,98036-5966,USA,,,,,,,,,
1000848,COLLECTIONS WESTERN,6008 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3142,USA,,,,,,,,,
1000849,LE DONUT - TACOMA,1317 S 11TH ST,TACOMA,WA,98405-3644,USA,,,,,,,,,
1000850,FRANKS DONUTS & MUFF,12110 A ST S,TACOMA,WA,98444-5113,USA,,,,,,,,,
1000851,DONUT AND MUFFIN FAC,201 4TH ST NE,AUBURN,WA,98002-5026,USA,,,,,,,,,
1000852,KARL'S BAKERY,2814 WETMORE AVE,EVERETT,WA,98201-3518,USA,,,,,,,,,
1000853,BAKERY EXPRESS,10214 SE 240TH ST,KENT,WA,98031-5123,USA,,,,,,,,,
1000854,HILLCREST BAKERY,10010 MAIN ST,BOTHELL,WA,98011-3424,USA,,,,,,,,,
1000856,BELSHAW BROS INC,814 44TH ST NW,AUBURN,WA,98001-1754,USA,,,,,,,,,
1000858,DOBAKE BAKERIES INC,810 81ST AVE,OAKLAND,CA,94621-2510,USA,,,,,,,,,
1000859,JOHNSON BROTHERS BAK,10731 N IH 35,SAN ANTONIO,TX,78233-6639,USA,,,,,,,,,
1000861,DUTCH AMERICAN FOODS,1362 DUTCH AMERICAN WAY,BEECHER,IL,60401-5093,USA,,,,,,,,,
1000863,BAKEMARK USA,19963 NE SAN RAFAEL ST,PORTLAND,OR,97230-7458,USA,,,,,,,,,
1000864,DESSERTS BY TASHA NI,3121 60TH LOOP SE,OLYMPIA,WA,98501-5376,USA,,,,,,,,,
1000865,CGI DESSERTS - CSM B,1912 MONTREAL RD,TUCKER,GA,30084-5201,USA,,,,,,,,,
1000878,CSM BAKERY PRODUCTS,1912 MONTREAL RD,TUCKER,GA,30084-5201,USA,,,,,,,,,
1001000,LA PRECIOSA,9629 EVERGREEN WAY,EVERETT,WA,98204-7198,USA,,,,,,,,,
1001010,OAXACA BAKERY II,6150 SW LOMBARD AVE,BEAVERTON,OR,97008-4736,USA,,,,,,,,,
1001012,EUROPA PDX INC,3300 NE 88TH AVE,VANCOUVER,WA,98662-6813,USA,,,,,,,,,
1001013,HERBAN ALTERNATIVES,928 N 137TH ST,SEATTLE,WA,98133-7570,USA,,,,,,,,,
1001014,REGENT BAKERY & CAFE,1404 E PINE ST,SEATTLE,WA,98122-4032,USA,,,,,,,,,
1001015,LUCKY DEVIL,10817 36TH AVE SW,SEATTLE,WA,98146-1732,USA,,,,,,,,,
1001016,COLLECTIONS THE RECI,2302 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA,,,,,,,,,
1001017,KOLBY'S DONUT HOUSE,101 S 60TH ST,TACOMA,WA,98408-7519,USA,,,,,,,,,
1001021,JEFFREY WEEMS,941 206TH PL NE,SUMMAMISH,WA,98074-6691,USA,,,,,,,,,
1001022,VIERA'S BAKERY,430 W LEWIS ST,PASCO,WA,99301-5642,USA,,,,,,,,,
1001025,HELPING HANDS USA,3719 E BEAUMONT ST,SPRINGFIELD,MO,65809-4154,USA,,,,,,,,,
1001026,NEUMANN'S GERMAN BAK,10534 NE SANDY BLVD,PORTLAND,OR,97220-2508,USA,,,,,,,,,
1001028,COLOMBIAN BAKERY LUI,8012 S TACOMA WAY 340,LAKEWOOD,WA,98499-4500,USA,,,,,,,,,
1001030,CAKES BY LOOK,501 2ND AVE W,SEATTLE,WA,98119-3983,USA,,,,,,,,,
1001031,FRANK'S DONUT & MUFF,14117 PACIFIC AVE S,TACOMA,WA,98444-6935,USA,,,,,,,,,
1001032,GREAT HARVEST BREAD,2218 NW MARKET ST,SEATTLE,WA,98107-4024,USA,,,,,,,,,
1001046,COLLECTIONS STONEGRO,1201 E YELM AVE,YELM,WA,98597-9427,USA,,,,,,,,,
1001047,PIKE PLACE BAKERY TW,1222 BRONSON WAY N,RENTON,WA,98057-5762,USA,,,,,,,,,
1001048,THE SWEET STOP CUPCA,6959 FISH HATCHERY DR,ENTIAT,WA,98822-9739,USA,,,,,,,,,
1001049,SERIOUSCAKE.COM,1701 SHADOW WOOD DR,WEST LINN,OR,97068-9746,USA,,,,,,,,,
1001051,CORINA BAKERY & BIST,602 FAWCETT AVE,TACOMA,WA,98402-2321,USA,,,,,,,,,
1001052,PANADERIA EL TRIGAL,6301 MCKINLEY AVE,TACOMA,WA,98404-2343,USA,,,,,,,,,
1001055,HENRY'S DONUTS - MON,19191 STATE ROUTE 2,MONROE,WA,98272-1553,USA,,,,,,,,,
1001060,GLAZE BAKERY,595 GRANT ROAD,EAST WENATCHEE,WA,98802-7817,USA,,,,,,,,,
1001061,J&J SNACK FOODS HAND,312 SOUND RD,HOLLY RIDGE,NC,28445-7812,USA,,,,,,,,,
1001063,EL JAZMIN,531 E MAIN ST,OTHELLO,WA,99344-1148,USA,,,,,,,,,
1001064,DOTZ DESSERTS & ALLE,7021 HOMESTEAD AVE,TACOMA,WA,98404-5023,USA,,,,,,,,,
1001065,SPEEDY GONZALES,11319 26TH AVE S,SEATTLE,WA,98168-1859,USA,,,,,,,,,
1001066,FRIAS PANADERIA,9501 STATE AVE,MARYSVILLE,WA,98270-2235,USA,,,,,,,,,
1001067,LE CHEF BAKERY,7547 TELEGRAPH RD,MONTEBELLO,CA,90640-6516,USA,,,,,,,,,
1001070,GRACIE'S IN & OUT PA,11023 STATE AVE,MARYSVILLE,WA,98271-7200,USA,,,,,,,,,
1001071,CLYDE'S DONUTS,1120 W FULLERTON AVE,ADDISON,IL,60101-4304,USA,,,,,,,,,
1001072,HEARTLAND INGREDIENT,508 E CHERRY ST,TROY,MO,63379-1410,USA,,,,,,,,,
1001073,OH SO GOOD!,4544 TRAFALGAR AVE,JUNEAU,AK,99801-9173,USA,,,,,,,,,
1001074,PASTELERIA LAS PRINC,1300 SW OAK ST,HILLSBORO,OR,97123-4308,USA,,,,,,,,,
1001075,MRS FIELDS COOKIES 5,1000 2ND AVE,SEATTLE,WA,98104-1094,USA,,,,,,,,,
1001076,DELRIDGE BAKERY,9427 17TH AVE SW,SEATTLE,WA,98106-2710,USA,,,,,,,,,
1001077,PONCE'S BAKERY,13043 1ST AVE S,BURIEN,WA,98168-2620,USA,,,,,,,,,
1001078,COOKIES BY DESIGN,11853 SE 221ST ST,KENT,WA,98031-9628,USA,,,,,,,,,
1001079,PLUME,117 KIRKLAND AVE,KIRKLAND,WA,98033-6504,USA,,,,,,,,,
1001080,MARICELLA BARAJAS,1609 EAGLE RIDGE DR S,RENTON,WA,98055-3562,USA,,,,,,,,,
1001081,TORTILLERIA 4 HERMAN,570 SE 3RD AVE,HILLSBORO,OR,97123-4407,USA,,,,,,,,,
1001082,HOWELL STREET BAKERY,804 HOWELL ST,SEATTLE,WA,98101-1311,USA,,,,,,,,,
1001083,LA MEXICANA #4,18801 SE STARK ST,PORTLAND,OR,97233-5331,USA,,,,,,,,,
1001085,TIENDA Y CARNIC LOS,525 E COLLEGE WAY,MOUNT VERNON,WA,98273-5571,USA,,,,,,,,,
1001086,SWEET THEMES BAKERY,317 W MEEKER ST,KENT,WA,98032-6005,USA,,,,,,,,,
1001087,PANADERIA LA FABULOS,12413 MERIDIAN E,PUYALLUP,WA,98373-3470,USA,,,,,,,,,
1001089,SLICE OF HEAVEN,508 BAYSIDE RD,BELLINGHAM,WA,98225-7806,USA,,,,,,,,,
1001091,THE PEOPLE'S CAKE,177 WESTERN AVE W,SEATTLE,WA,98119-4211,USA,,,,,,,,,
1001092,BABA FRESH,11139 SW CAPITOL HWY,PORTLAND,OR,97219-7201,USA,,,,,,,,,
1001093,AT THE VINEYARD INC,16507 140TH PL NE,WOODINVILLE,WA,98072-9050,USA,,,,,,,,,
1001094,MRS FIELDS COOKIES 5,7403 SW BRIDGEPORT RD,TIGARD,OR,97224-7773,USA,,,,,,,,,
1001096,3 HERMANOS,25451 104TH AVE SE,KENT,WA,98030-6663,USA,,,,,,,,,
1001097,HOUSE OF BREAD ANCHO,8130 OLD SEWARD HWY,ANCHORAGE,AK,99518-3349,USA,,,,,,,,,
1001100,ROSE CITY BAKERY,1233 SE 174TH AVE,PORTLAND,OR,97233,USA,,,,,,,,,
1001101,MARTHA'S MINI BAKERY,917 MARION ST,CENTRALIA,WA,98531-5428,USA,,,,,,,,,
1001102,ELIZABETH ROSAS DE C,803 COWEEMAN LN,KELSO,WA,98626-2856,USA,,,,,,,,,
1001105,MICRO DOUGHNUTS,1353 SW 10TH ST,NORTH BEND,WA,98045-7958,USA,,,,,,,,,
1001106,SUGAR MAMA'S BAKE SH,13703 SE 202ND PL,KENT,WA,98042-3039,USA,,,,,,,,,
1001107,CLIFTON LAPLANT,19115 SE 314TH PL,KENT,WA,98042-9736,USA,,,,,,,,,
1001108,SAIGON BAKERY & BUBB,1200 S JACKSON ST,SEATTLE,WA,98144-2026,USA,,,,,,,,,
1001109,HERBAL BAG LADY,8919 ARLINGTON HEIGHTS RD,ARLINGTON,WA,98223-6962,USA,,,,,,,,,
1001112,LAFEEN'S DONUTS & IC,320 N BURLINGTON BLVD,BURLINGTON,WA,98233-1118,USA,,,,,,,,,
1001113,TAQUERIA Y PANADERIA,1642 PACIFIC BLVD SE,ALBANY,OR,97321-4831,USA,,,,,,,,,
1001114,PASTELERIA 4 HERMANO,16688 HIGHWAY 99E NE,WOODBURN,OR,97071-9184,USA,,,,,,,,,
1001115,HELEN'S DONUTS & ICE,5601 E PORTLAND AVE,TACOMA,WA,98404-2549,USA,,,,,,,,,
1001116,SHIRLEY'S CAKES,10 ECHO CT,YAKIMA,WA,98908-8814,USA,,,,,,,,,
1001117,SUNRISE DONUTS AND E,7299 W LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052-4303,USA,,,,,,,,,
1001118,GRANNY'S GOODIES LLC,1061 15TH AVE,LONGVIEW,WA,98632-2324,USA,,,,,,,,,
1001121,COLLETIONS JONES AND,2515 WATERWHEEL RD,EMMETT,ID,83617-9465,USA,,,,,,,,,
1001124,SIMPLY CAKETASTIC,1357 STATE AVE,MARYSVILLE,WA,98270-3604,USA,,,,,,,,,
1001126,KIKI BAKERY,15230 NE 24TH ST,REDMOND,WA,98052-5540,USA,,,,,,,,,
1001127,MELISSA O'REGAN,8619 230TH AVE NE,REDMOND,WA,98053-1962,USA,,,,,,,,,
1001128,HOUSE OF BREAD,16230 SW PACIFIC HWY,TIGARD,OR,97224-3459,USA,,,,,,,,,
1001129,COLLECTIONS VIKELI B,21224 84TH AVE S,KENT,WA,98032-1967,USA,,,,,,,,,
1001130,TWISTER DONUTS,2302 4TH AVE E,OLYMPIA,WA,98506-4733,USA,,,,,,,,,
1001131,LAS TUNAS MEXICAN CU,3831 MAIN ST,SPRINGFIELD,OR,97478-5801,USA,,,,,,,,,
1001132,ARLINGTON ASSEMBLY O,3203 264TH ST NE,ARLINGTON,WA,98223-6004,USA,,,,,,,,,
1001134,ENRIQUES BAKERY,50 E HEMLOCK CT,SHELTON,WA,98584-9722,USA,,,,,,,,,
1001136,LAURA & DAISY'S BAKE,1436 MAIN ST,SPRINGFIELD,OR,97477,USA,,,,,,,,,
1001137,MINERVA DIAZ,405 S 7TH ST,RENTON,WA,98057-2581,USA,,,,,,,,,
1001138,PHOEBE'S PASTRY CAFE,1800 COOPER POINT RD SW,OLYMPIA,WA,98502-1179,USA,,,,,,,,,
1001139,MI MI BAKERY,4809 BEACON AVE S,SEATTLE,WA,98108-1502,USA,,,,,,,,,
1001140,LOS AMIGOS,4507 LACEY BLVD SE,LACEY,WA,98503-5718,USA,,,,,,,,,
1001141,KATHY CASEY FOODS ST,5130 BALLARD AVE NW,SEATTLE,WA,98107-4811,USA,,,,,,,,,
1001142,PINKS ORIGINAL BAKER,19249 84TH AVE S,KENT,WA,98032-1237,USA,,,,,,,,,
1001143,NEW RENAISSANCE CAKE,301 QUEEN ANNE AVE N,SEATTLE,WA,98109-4513,USA,,,,,,,,,
1001144,MEIANNA BAKERY & CAF,6008 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3142,USA,,,,,,,,,
1001145,NOSTALGIA HOUSE BAKE,1341 BAY ST,PORT ORCHARD,WA,98366-5150,USA,,,,,,,,,
1001146,EL CHARRITO MARKET,9629 EVERGREEN WAY,EVERETT,WA,98204-7198,USA,,,,,,,,,
1001147,HENRY DONUTS - MARYS,1289 STATE AVE,MARYSVILLE,WA,98270-3696,USA,,,,,,,,,
1001150,EPIC DONUTS,12314 MERIDIAN E,PUYALLUP,WA,98373-5061,USA,,,,,,,,,
1001151,AL SHUKR MINI MARKET,2823 S 200TH ST,SEATAC,WA,98198-5208,USA,,,,,,,,,
1001152,EL SABOR DE MEXICO,1679 S MARKET BLVD,CHEHALIS,WA,98532,USA,,,,,,,,,
1001153,FROST ME SWEET,710 THE PARKWAY,RICHLAND,WA,99352-4235,USA,,,,,,,,,
1001158,COTTAGE BAKERY & CAF,9903 381ST ST E,EATONVILLE,WA,98328-8057,USA,,,,,,,,,
1001159,FOREST FAIRY BAKERY,485 FRONT ST N,ISSAQUAH,WA,98027-2900,USA,,,,,,,,,
1001160,SIMPLY SOULFUL  PIES,281 SW 41ST ST,RENTON,WA,98057-4930,USA,,,,,,,,,
1001161,PETIT CHAT VILLAGE B,9910 N WAIKIKI RD,SPOKANE,WA,99218-2359,USA,,,,,,,,,
1001163,MIA BAKERY,208 W LEWIS ST,PASCO,WA,99301-5646,USA,,,,,,,,,
1001164,FRANCISCO'S BAKERY,5300 W CLEARWATER,KENNEWICK,WA,99336-1955,USA,,,,,,,,,
1001165,COLLECTIONS PANADERI,615 W COLUMBIA DR,KENNEWICK,WA,99336,USA,,,,,,,,,
1001166,ESPIGA DE ORO,803 W NOB HILL BLVD,YAKIMA,WA,98902-5524,USA,,,,,,,,,
1001167,COLLECTIONS DAISEY'S,1832 W COURT ST,PASCO,WA,99301-3446,USA,,,,,,,,,
1001168,PANADERIA URUAPAN,607 W CLARK,PASCO,WA,99301-5523,USA,,,,,,,,,
1001169,EMERALD CITY CAKE BA,29908 61ST AVE S,#,WA,98001-3035,USA,,,,,,,,,
1001170,COLLECTIONS BAKER ST,3730 132ND ST SW,LYNNWOOD,WA,98087-5107,USA,,,,,,,,,
1001172,NANCY'S BAKERY,5705 CENTRAL PARK DR,ABERDEEN,WA,98520-7161,USA,,,,,,,,,
1001173,M&N GROCERY & BAKERY,309 YAKIMA VALLEY HWY,SUNNYSIDE,WA,98944-1322,USA,,,,,,,,,
1001174,RUBEN'S TORTILLERIA,1518 S 1ST ST,YAKIMA,WA,98901-3544,USA,,,,,,,,,
1001175,G BETO'S BAKERY,529 N TOWER,CENTRALIA,WA,98531-4664,USA,,,,,,,,,
1001176,DELICIAS BAKERY,1401 FRUITVALE BLVD,YAKIMA,WA,98902-1926,USA,,,,,,,,,
1001177,PANADERIA AGUILILLA,3206 MAIN ST,UNION GAP,WA,98903-1848,USA,,,,,,,,,
1001178,PANADERIA LA MORENIT,117 E WALNUT ST,YAKIMA,WA,98901-2824,USA,,,,,,,,,
1001181,SUPER BAKERY LLC,111 N 6TH ST,SUNNYSIDE,WA,98944-1348,USA,,,,,,,,,
1001182,ALBERTO BAKERY,6724 51ST AVE E,TACOMA,WA,98443-2335,USA,,,,,,,,,
1001183,LOS REYES BAKERY,4771 CURRANT LANE NE,SALEM,OR,97305-2687,USA,,,,,,,,,
1001184,ZULE'S CAKES,3795 WILTON AVE NE,SALEM,OR,97305-1203,USA,,,,,,,,,
1001185,MATHSAW BAKERY,9170 PORTLAND RD NE,BROOKS,OR,97305-9636,USA,,,,,,,,,
1001186,COLLECTIONS LA CEIBI,14200 1ST AVE S,BURIEN,WA,98168-3430,USA,,,,,,,,,
1001187,TAMU FOODS,1112 SOUTH 344TH ST,FEDERAL WAY,WA,98003-6797,USA,,,,,,,,,
1001188,COLLECTIONS MARTINEZ,1052 14TH AVE,LONGVIEW,WA,98632-2319,USA,,,,,,,,,
1001202,BAGEL CAFE RR LLC 2,11011 W CHARLESTON BLVD,LAS VEGAS,NV,89135-1402,USA,,,,,,,,,
1001206,DONUT PALACE - MARSH,100 E END BLVD S,MARSHALL,TX,75670-5602,USA,,,,,,,,,
