TestID,StreetName,City,State,ZIP,Country
1000383,3510 ELM RD,PASCO,WA,99301-8619,USA
1000384,2850 SE 82ND AVE UNIT 27,PORTLAND,OR,97266-1599,USA
1000385,8933 FARM TO MARKET RD,BOW,WA,98232-7100,USA
1000386,7683 SE 27TH ST  103,MERCER ISLAND,WA,98040-2804,USA
1000387,425 SW 152ND ST,BURIEN,WA,98166-2208,USA
1000388,816 72ND ST E,TACOMA,WA,98404-1700,USA
1000391,13544 SE 161ST PL,RENTON,WA,98058-6919,USA
1000394,2225 S ALPINE ST,CORNELIUS,OR,97113-7331,USA
1000396,2112 NE 65TH ST,SEATTLE,WA,98115-6936,USA
1000398,18721 E 8TH AVE,SPOKANE VALLEY,WA,99016-9745,USA
1000399,2302 COMMERCIAL AVE,ANACORTES,WA,98221-2555,USA
1000400,8001 SE POWELL BLVD,PORTLAND,OR,97206-2300,USA
1000401,2125 196TH ST SW UNIT 120,LYNNWOOD,WA,98036-7033,USA
1000402,9205 SOUTH TACOMA WAY,LAKEWOOD,WA,98499-4464,USA
1000404,2001 W GARFIELD ST,SEATTLE,WA,98119-3119,USA
1000405,1333 W 7TH AVE,EUGENE,OR,97402-4541,USA
1000406,2900 SW CORNELIUS PASS RD,HILLSBORO,OR,97123-6742,USA
1000407,3913 GIBBONS ST,VANCOUVER,WA,98661-5608,USA
1000408,900 160TH AVE NE  5.6,BELLEVUE,WA,98008-3939,USA
1000409,4205 139TH PL SE,MILL CREEK,WA,98012-8952,USA
1000413,1711 ELDRIDGE AVE,BELLINGHAM,WA,98225-2804,USA
1000416,2234 FAIRGROUNDS RD NE,SALEM,OR,97301-0649,USA
1000418,2346 SE 82ND AVE,PORTLAND,OR,97216-1414,USA
1000419,60 GATEWAY BLVD,COTTAGE GROVE,OR,97424-1739,USA
1000421,4737 CALIFORNIA AVE SW,SEATTLE,WA,98116-4412,USA
1000423,669 S KING ST,SEATTLE,WA,98104-2936,USA
1000424,12518 LAKE CITY WAY NE,SEATTLE,WA,98125-4425,USA
1000426,8909 14TH AVE S,SEATTLE,WA,98108-4818,USA
1000429,130 37TH ST NE,AUBURN,WA,98002-1707,USA
1000432,13100 BEACON COAL MINE RD S TRLR 51,SEATTLE,WA,98178-4646,USA
1000433,2214 PRIMROSE LOOP,PHILOMATH,OR,97370-9540,USA
1000435,210 WINSLOW WAY E,BAINBRIDGE ISLAND,WA,98110-2430,USA
1000436,14632 MUD RUN RD SE,YELM,WA,98597-9774,USA
1000438,2138 LANCASTER DR NE,SALEM,OR,97305-1720,USA
1000440,3650 ORCAS DR,CLINTON,WA,98236-9213,USA
1000444,4445 S 134TH PL,TUKWILA,WA,98168-6204,USA
1000445,4750 N DIVISION ST,SPOKANE,WA,99207-1411,USA
1000447,9701 SOUTH TACOMA WAY,LAKEWOOD,WA,98499-4490,USA
1000448,14590 NE 95TH ST,REDMOND,WA,98052-2550,USA
1000449,400 PINE ST,SEATTLE,WA,98101-1694,USA
1000450,20710 BOTHELL EVERETT HWY,BOTHELL,WA,98012-7705,USA
1000453,2013 NE KELSEY LN,ISSAQUAH,WA,98029-7664,USA
1000454,615 COMMERCIAL AVE,ANACORTES,WA,98221-1730,USA
1000456,239 NW 2ND AVE,CANBY,OR,97013-3623,USA
1000457,2008 S COMMONS C-7,FEDERAL WAY,WA,98003-6040,USA
1000459,12831 NE AIRPORT WAY,PORTLAND,OR,97230-1030,USA
1000460,1709 MOUNT HOOD AVE,WOODBURN,OR,97071-9072,USA
1000461,4489 BANDINI BLVD,VERNON,CA,90058-4309,USA
1000463,520 2ND AVE W,SEATTLE,WA,98119-3976,USA
1000464,8720 S TACOMA,LAKEWOOD,WA,98499-4545,USA
1000466,2100 FERRY TERMINAL RD,ANACORTES,WA,98221-4055,USA
1000467,19403 SW BOONES FERRY RD,TUALATIN,OR,97062-9085,USA
1000470,3561 WHEATON WAY,BREMERTON,WA,98310-3530,USA
1000471,405 HOWELL WAY,EDMONDS,WA,98020-4186,USA
1000474,7401 SAND POINT WAY NE,SEATTLE,WA,98115-6325,USA
1000477,825 SW 152ND ST,BURIEN,WA,98166-1841,USA
1000478,808 COMMERCIAL AVE,ANACORTES,WA,98221-4113,USA
1000479,5317 EVERGREEN WAY,EVERETT,WA,98203-3631,USA
1000480,2091 RIVER RD,EUGENE,OR,97404-2503,USA
1000481,450 RANDEL RD,SUNNYSIDE,WA,98944-9719,USA
1000482,20620 84TH AVE S,KENT,WA,98032,USA
1000483,801 WARNER ST,SEDRO WOOLLEY,WA,98284-1738,USA
1000484,12305 SW BROADWAY ST,BEAVERTON,OR,97005-2141,USA
1000485,22560 SW PINE ST APT A,SHERWOOD,OR,97140-9635,USA
1000486,8349 SW TONKA ST,TUALATIN,OR,97062-9087,USA
1000521,11050 SE POWELL BLVD,PORTLAND,OR,97266-1863,USA
1000522,6011 SE 72ND AVE,PORTLAND,OR,97206-6401,USA
1000523,1568 FRUITLAND DR,BELLINGHAM,WA,98226-1201,USA
1000524,12070 SW ALLEN BLVD,BEAVERTON,OR,97005-4721,USA
1000525,1221 CARNATION DR,SUNNYSIDE,WA,98944-2003,USA
1000526,18230 E VALLEY HWY,KENT,WA,98032-1231,USA
1000527,2200 N 45TH ST,SEATTLE,WA,98103-6904,USA
1000528,19983 STATE ROUTE 2,MONROE,WA,98272-2338,USA
1000530,11108 EVERGREEN WAY,EVERETT,WA,98204-3886,USA
1000531,5601 1ST AVE S,SEATTLE,WA,98108-2404,USA
1000532,1001 S MYRTLE ST,SEATTLE,WA,98108-3527,USA
1000534,4025 DELRIDGE WAY SW,SEATTLE,WA,98106-1273,USA
1000535,18350 SW TUALATIN VALLEY HWY,ALOHA,OR,97006-3956,USA
1000536,121 FREEWAY DR,MOUNT VERNON,WA,98273-2816,USA
1000537,13507 SE DIVISION ST,PORTLAND,OR,97236-3048,USA
1000538,5601 E PORTLAND AVE,TACOMA,WA,98404-2549,USA
1000539,1975 DISCOVERY DR,FAIRBANKS,AK,99709-4577,USA
1000541,26801 NE BIG ROCK RD,DUVALL,WA,98019-8217,USA
1000542,2402 5TH ST SW,PUYALLUP,WA,98373-2765,USA
1000543,8750 SW CITIZENS DR,WILSONVILLE,OR,97070-6404,USA
1000544,1238 S WELLER ST,SEATTLE,WA,98144-2049,USA
1000546,1022 72ND ST E,TACOMA,WA,98404-1732,USA
1000547,9828 16TH AVE SW,SEATTLE,WA,98106-2829,USA
1000548,184 NE 2ND ST,GRESHAM,OR,97030-7504,USA
1000549,7101 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3591,USA
1000550,212 NE 164TH AVE,VANCOUVER,WA,98684-2909,USA
1000551,2324 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA
1000552,6900 CAROLINA LN,VANCOUVER,WA,98664-1557,USA
1000554,1001 S 344TH ST,FEDERAL WAY,WA,98003-6795,USA
1000555,636 DECATUR AVE,SUNNYSIDE,WA,98944-1541,USA
1000556,8416 SE 32ND AVE,PORTLAND,OR,97222-9205,USA
1000565,29922 113TH PL SE,AUBURN,WA,98092-2052,USA
1000567,8042 PACIFIC AVE,TACOMA,WA,98404-5825,USA
1000571,301 E WALLACE KNEELAND BLVD,SHELTON,WA,98584-2987,USA
1000573,13815 SW PACIFIC HWY,TIGARD,OR,97223-4802,USA
1000575,4336 ROOSEVELT WAY NE  F,SEATTLE,WA,98105-4764,USA
1000578,2701 LAND AVE,SACRAMENTO,CA,95815-1833,USA
1000579,38050 HIGHWAY 26,SANDY,OR,97055-6550,USA
1000581,7272 SW DURHAM RD,PORTLAND,OR,97224-7569,USA
1000582,985 SOUTHCENTER MALL,TUKWILA,WA,98188-2822,USA
1000583,2515 BROADWAY,EVERETT,WA,98201-3020,USA
1000584,1001 S MYRTLE ST,SEATTLE,WA,98108-3527,USA
1000585,28855 MILITARY RD S,FEDERAL WAY,WA,98003-7912,USA
1000586,306 W HOLLY ST,BELLINGHAM,WA,98225-4314,USA
1000587,4214 E MADISON ST,SEATTLE,WA,98112-3237,USA
1000594,1412 156TH AVE NE,BELLEVUE,WA,98007-4414,USA
1000596,32504 181ST AVE SE,AUBURN,WA,98092-9111,USA
1000597,90724 DALEWOOD DR,JUNCTION CITY,OR,97448-9552,USA
1000599,5717 NE 105TH AVE,PORTLAND,OR,97220-1156,USA
1000602,1950 ECHO HOLLOW RD,EUGENE,OR,97402-7008,USA
1000604,1159 MOHAWK BLVD,SPRINGFIELD,OR,97477-4131,USA
1000608,209 E CASINO RD,EVERETT,WA,98208-2610,USA
1000609,854 WOODSIDE DR,LONGVIEW,WA,98632-9671,USA
1000611,11620 AMBAUM BLVD SW,BURIEN,WA,98146-2641,USA
1000612,6116 PHINNEY AVE N,SEATTLE,WA,98103-5514,USA
1000613,7500 15TH AVE NW,SEATTLE,WA,98117-5409,USA
1000614,2100 N NORTHGATE WAY,SEATTLE,WA,98133-9017,USA
1000615,12844 72ND AVE S,SEATTLE,WA,98178-4731,USA
1000616,1812 B ST NW,AUBURN,WA,98001-1652,USA
1000617,900 160TH AVE NE,BELLEVUE,WA,98008-3939,USA
1000619,15920 S MERRY LEE DR,OREGON CITY,OR,97045-9018,USA
1000621,5320 MCKINLEY AVE,TACOMA,WA,98404-2724,USA
1000622,405 CENTRAL AVE N,KENT,WA,98032-4514,USA
1000624,956 NW CIRCLE BLVD,CORVALLIS,OR,97330-1410,USA
1000625,438 N MARKET BLVD,CHEHALIS,WA,98532-2628,USA
1000627,919 W DIVISION ST,MOUNT VERNON,WA,98273-3225,USA
1000629,110 S 4TH AVE,PASCO,WA,99301-5507,USA
1000630,314 E 26TH ST,TACOMA,WA,98421,USA
1000631,1800 RIVERSIDE DR,MOUNT VERNON,WA,98273-5471,USA
1000632,9955 SW BEAVERTON HILLSDALE HWY,BEAVERTON,OR,97005-3228,USA
1000634,10918 SE DIVISION ST,PORTLAND,OR,97266-1259,USA
1000635,15220 SE 272ND ST,KENT,WA,98042-4241,USA
1000637,1442 COLE ST,ENUMCLAW,WA,98022-3018,USA
1000638,2025 SE 11TH AVE,PORTLAND,OR,97214-5315,USA
1000639,4809 BEACON AVE S,SEATTLE,WA,98108-1502,USA
1000640,19016 72ND AVE S,KENT,WA,98032-1005,USA
1000641,3098 NORTHWEST AVE,BELLINGHAM,WA,98225-1607,USA
1000644,307 S PARK ST,ABERDEEN,WA,98520-5900,USA
1000645,421 FRONT ST,LYNDEN,WA,98264-1920,USA
1000646,21106 86TH AVE SE,SNOHOMISH,WA,98296-7904,USA
1000647,5441 SOUTH TACOMA WAY,TACOMA,WA,98409-4312,USA
1000649,16150 NE 85TH ST,REDMOND,WA,98052-3540,USA
1000651,18200 OATFIELD RD,GLADSTONE,OR,97027-1666,USA
1000654,1980 NE SPRINGER CT,MC MINNVILLE,OR,97128-9095,USA
1000655,7209 MARTIN WAY E,OLYMPIA,WA,98516-5534,USA
1000656,3905 STATE ST,SALEM,OR,97301-5323,USA
1000658,1610 N LAVENTURE RD,MOUNT VERNON,WA,98273-2770,USA
1000661,1444 SW 320TH PL,FEDERAL WAY,WA,98023-5534,USA
1000663,2904 SE 62ND AVE,PORTLAND,OR,97206-2040,USA
1000664,2539 E PHILADELPHIA ST,ONTARIO,CA,91761-7774,USA
1000665,1001 E 33RD ST,LUBBOCK,TX,79404-1816,USA
1000670,12625 STOWE DR,POWAY,CA,92064-6853,USA
1000672,3501 INDUSTRY DR E,FIFE,WA,98424-1834,USA
1000685,170 E RINCON ST,CORONA,CA,92879-1327,USA
1000689,30754 SAN ANTONIO ST,HAYWARD,CA,94544-7106,USA
1000693,1695 STATE ST,SALEM,OR,97301-4258,USA
1000694,1719 SW ROXBURY ST,SEATTLE,WA,98106-2737,USA
1000695,13201 AURORA AVE N,SEATTLE,WA,98133-7586,USA
1000698,15321 MAIN ST NE,DUVALL,WA,98019-8574,USA
1000703,3812 S WRIGHT AVE,TACOMA,WA,98409-3142,USA
1000704,1009 S BERTELSEN RD,EUGENE,OR,97402-5427,USA
1000705,14740 NW CORNELL RD,PORTLAND,OR,97229-5400,USA
1000707,3731 MCKINLEY AVE,TACOMA,WA,98404-3035,USA
1000708,2445 4TH AVE S,SEATTLE,WA,98134-1939,USA
1000712,2809 MARKET ST NE,SALEM,OR,97301-1644,USA
1000714,823 METCALF ST,SEDRO WOOLLEY,WA,98284-1422,USA
1000715,2210 37TH ST,EVERETT,WA,98201-4509,USA
1000716,5345 SE FOSTER RD,PORTLAND,OR,97206-2937,USA
1000717,8211 NE BRAZEE ST,PORTLAND,OR,97220-5394,USA
1000718,4107 SE 82ND AVE,PORTLAND,OR,97266-2915,USA
1000721,1724 FRONT ST,LYNDEN,WA,98264-1261,USA
1000722,427 OHIO ST,BELLINGHAM,WA,98225-4641,USA
1000723,4726 SE DIVISION ST,PORTLAND,OR,97206-1510,USA
1000724,330 RAINIER AVE S,RENTON,WA,98057-2403,USA
1000725,1717 NE BROADWAY ST,PORTLAND,OR,97232-1775,USA
1000726,12502 SE 259TH ST,KENT,WA,98030-8470,USA
1000729,3790 SILVERTON RD NE,SALEM,OR,97305-3585,USA
1000730,6840 N MARINE DR,PORTLAND,OR,97203-6492,USA
1000731,29314 PACIFIC HWY S,FEDERAL WAY,WA,98003-3863,USA
1000733,3434 NE 170TH PL,PORTLAND,OR,97230-5072,USA
1000735,701 INDUSTRIAL DR,EXETER,CA,93221-2102,USA
1000736,23617 104TH AVE SE,KENT,WA,98031-3378,USA
1000737,900 GLENEAGLES DR,EDMOND,OK,73013-1808,USA
1000740,804 6TH AVE S,SEATTLE,WA,98134-1304,USA
1000741,5716 SE 92ND AVE,PORTLAND,OR,97266-4659,USA
1000742,1714 N 44TH ST,SEATTLE,WA,98103-7571,USA
1000746,19350 SW BOONES FERRY RD,TUALATIN,OR,97062-9084,USA
1000747,4224 24TH AVE W,SEATTLE,WA,98199-1216,USA
1000748,6990 SW BEAVERTON HILLSDALE HWY,PORTLAND,OR,97225-1461,USA
1000749,2302 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA
1000754,9638 GRAVELLY LAKE DR SW,TACOMA,WA,98499-1516,USA
1000755,12120 PARK ST,CERRITOS,CA,90703-1842,USA
1000759,1948 W PULLMAN RD  G24,MOSCOW,ID,83843-4013,USA
1000761,3318 181ST PL NE,REDMOND,WA,98052-5933,USA
1000762,661 SE BASELINE ST,HILLSBORO,OR,97123-4183,USA
1000763,4500 PACIFIC HWY E,FIFE,WA,98424-2685,USA
1000765,3423 NE 172ND PL,PORTLAND,OR,97230-5071,USA
1000768,15215 KESWICK ST,VAN NUYS,CA,91405-1014,USA
1000771,1065 E SUNSET DR,BELLINGHAM,WA,98226-3510,USA
1000774,8815 S 190TH ST,KENT,WA,98031-1270,USA
1000776,5917 NE 80TH AVE,PORTLAND,OR,97218-2891,USA
1000777,2613 COLBY AVE,EVERETT,WA,98201-2921,USA
1000778,20101 44TH AVE W,LYNNWOOD,WA,98036-6745,USA
1000781,19043 INTERNATIONAL BLVD,SEATAC,WA,98188-5207,USA
1000782,10924 MUKILTEO SPEEDWAY,MUKILTEO,WA,98275-5051,USA
1000784,12375 SW BROADWAY ST,BEAVERTON,OR,97005-2184,USA
1000786,22330 68TH AVE S,KENT,WA,98032-1948,USA
1000790,1010 SW 34TH ST,RENTON,WA,98057-4813,USA
1000791,1908 PIKE PL,SEATTLE,WA,98101-1013,USA
1000792,41 B AVE,LAKE OSWEGO,OR,97034-3130,USA
1000793,1530 PIKE PL,SEATTLE,WA,98101-1527,USA
1000795,12505 NE 144TH ST,KIRKLAND,WA,98034-1532,USA
1000798,5960 1ST AVE S,SEATTLE,WA,98108-3248,USA
1000801,1466 ELECTRIC AVE,BELLINGHAM,WA,98229-2482,USA
1000803,9100 N VANCOUVER AVE,PORTLAND,OR,97217-7560,USA
1000804,15708 PALATINE AVE N,SHORELINE,WA,98133-5918,USA
1000805,14026 SE 238TH LN,KENT,WA,98042-3835,USA
1000806,17674 SE 301ST ST,KENT,WA,98042-5715,USA
1000810,3840 A ST SE,AUBURN,WA,98002-3856,USA
1000813,6701 S 216TH ST,KENT,WA,98032-1389,USA
1000814,12310 HIGHWAY 99,EVERETT,WA,98204-8033,USA
1000815,1513 3RD ST,MARYSVILLE,WA,98270-5001,USA
1000816,11 103RD AVE NE,BELLEVUE,WA,98004-4965,USA
1000819,11916 PACIFIC HWY SW,TACOMA,WA,98499-1034,USA
1000820,5901 22ND AVE S,SEATTLE,WA,98108-2942,USA
1000822,6500 N MARINE DR,PORTLAND,OR,97203-6484,USA
1000823,6919 6TH AVE,TACOMA,WA,98406-1705,USA
1000825,2701 15TH AVE S,SEATTLE,WA,98144-5024,USA
1000826,914 AUBURN WAY S,AUBURN,WA,98002-6101,USA
1000827,140 SW 152ND ST,SEATTLE,WA,98166-2306,USA
1000831,6755 S 216TH ST,KENT,WA,98032-1389,USA
1000832,9312 SOUTH TACOMA WAY,TACOMA,WA,98499-4474,USA
1000833,6560 5TH AVE S,SEATTLE,WA,98108-3432,USA
1000835,418 MAIN ST,EDMONDS,WA,98020-3138,USA
1000838,2518 S PACIFIC HWY,MEDFORD,OR,97501-8724,USA
1000840,251 SUNSET BLVD N  B,RENTON,WA,98057-5517,USA
1000841,21919 66TH AVE W,MOUNTLAKE TERRACE,WA,98043-2189,USA
1000843,11613 124TH AVE NE,KIRKLAND,WA,98034-8106,USA
1000844,10032 MAIN ST,BOTHELL,WA,98011-3424,USA
1000845,1013 CAPITOL WAY S,OLYMPIA,WA,98501-1211,USA
1000846,4065 PACIFIC AVE,TACOMA,WA,98418-7831,USA
1000847,6414 204TH ST SW,LYNNWOOD,WA,98036-5966,USA
1000848,6008 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3142,USA
1000849,1317 S 11TH ST,TACOMA,WA,98405-3644,USA
1000850,12110 A ST S,TACOMA,WA,98444-5113,USA
1000851,201 4TH ST NE,AUBURN,WA,98002-5026,USA
1000852,2814 WETMORE AVE,EVERETT,WA,98201-3518,USA
1000853,10214 SE 240TH ST,KENT,WA,98031-5123,USA
1000854,10010 MAIN ST,BOTHELL,WA,98011-3424,USA
1000856,814 44TH ST NW,AUBURN,WA,98001-1754,USA
1000858,810 81ST AVE,OAKLAND,CA,94621-2510,USA
1000859,10731 N IH 35,SAN ANTONIO,TX,78233-6639,USA
1000861,1362 DUTCH AMERICAN WAY,BEECHER,IL,60401-5093,USA
1000863,19963 NE SAN RAFAEL ST,PORTLAND,OR,97230-7458,USA
1000864,3121 60TH LOOP SE,OLYMPIA,WA,98501-5376,USA
1000865,1912 MONTREAL RD,TUCKER,GA,30084-5201,USA
1000878,1912 MONTREAL RD,TUCKER,GA,30084-5201,USA
1001000,9629 EVERGREEN WAY,EVERETT,WA,98204-7198,USA
1001010,6150 SW LOMBARD AVE,BEAVERTON,OR,97008-4736,USA
1001012,3300 NE 88TH AVE,VANCOUVER,WA,98662-6813,USA
1001013,928 N 137TH ST,SEATTLE,WA,98133-7570,USA
1001014,1404 E PINE ST,SEATTLE,WA,98122-4032,USA
1001015,10817 36TH AVE SW,SEATTLE,WA,98146-1732,USA
1001016,2302 SIMPSON AVE,HOQUIAM,WA,98550-3934,USA
1001017,101 S 60TH ST,TACOMA,WA,98408-7519,USA
1001021,941 206TH PL NE,SUMMAMISH,WA,98074-6691,USA
1001022,430 W LEWIS ST,PASCO,WA,99301-5642,USA
1001025,3719 E BEAUMONT ST,SPRINGFIELD,MO,65809-4154,USA
1001026,10534 NE SANDY BLVD,PORTLAND,OR,97220-2508,USA
1001028,8012 S TACOMA WAY 340,LAKEWOOD,WA,98499-4500,USA
1001030,501 2ND AVE W,SEATTLE,WA,98119-3983,USA
1001031,14117 PACIFIC AVE S,TACOMA,WA,98444-6935,USA
1001032,2218 NW MARKET ST,SEATTLE,WA,98107-4024,USA
1001046,1201 E YELM AVE,YELM,WA,98597-9427,USA
1001047,1222 BRONSON WAY N,RENTON,WA,98057-5762,USA
1001048,6959 FISH HATCHERY DR,ENTIAT,WA,98822-9739,USA
1001049,1701 SHADOW WOOD DR,WEST LINN,OR,97068-9746,USA
1001051,602 FAWCETT AVE,TACOMA,WA,98402-2321,USA
1001052,6301 MCKINLEY AVE,TACOMA,WA,98404-2343,USA
1001055,19191 STATE ROUTE 2,MONROE,WA,98272-1553,USA
1001060,595 GRANT ROAD,EAST WENATCHEE,WA,98802-7817,USA
1001061,312 SOUND RD,HOLLY RIDGE,NC,28445-7812,USA
1001063,531 E MAIN ST,OTHELLO,WA,99344-1148,USA
1001064,7021 HOMESTEAD AVE,TACOMA,WA,98404-5023,USA
1001065,11319 26TH AVE S,SEATTLE,WA,98168-1859,USA
1001066,9501 STATE AVE,MARYSVILLE,WA,98270-2235,USA
1001067,7547 TELEGRAPH RD,MONTEBELLO,CA,90640-6516,USA
1001070,11023 STATE AVE,MARYSVILLE,WA,98271-7200,USA
1001071,1120 W FULLERTON AVE,ADDISON,IL,60101-4304,USA
1001072,508 E CHERRY ST,TROY,MO,63379-1410,USA
1001073,4544 TRAFALGAR AVE,JUNEAU,AK,99801-9173,USA
1001074,1300 SW OAK ST,HILLSBORO,OR,97123-4308,USA
1001075,1000 2ND AVE,SEATTLE,WA,98104-1094,USA
1001076,9427 17TH AVE SW,SEATTLE,WA,98106-2710,USA
1001077,13043 1ST AVE S,BURIEN,WA,98168-2620,USA
1001078,11853 SE 221ST ST,KENT,WA,98031-9628,USA
1001079,117 KIRKLAND AVE,KIRKLAND,WA,98033-6504,USA
1001080,1609 EAGLE RIDGE DR S,RENTON,WA,98055-3562,USA
1001081,570 SE 3RD AVE,HILLSBORO,OR,97123-4407,USA
1001082,804 HOWELL ST,SEATTLE,WA,98101-1311,USA
1001083,18801 SE STARK ST,PORTLAND,OR,97233-5331,USA
1001085,525 E COLLEGE WAY,MOUNT VERNON,WA,98273-5571,USA
1001086,317 W MEEKER ST,KENT,WA,98032-6005,USA
1001087,12413 MERIDIAN E,PUYALLUP,WA,98373-3470,USA
1001089,508 BAYSIDE RD,BELLINGHAM,WA,98225-7806,USA
1001091,177 WESTERN AVE W,SEATTLE,WA,98119-4211,USA
1001092,11139 SW CAPITOL HWY,PORTLAND,OR,97219-7201,USA
1001093,16507 140TH PL NE,WOODINVILLE,WA,98072-9050,USA
1001094,7403 SW BRIDGEPORT RD,TIGARD,OR,97224-7773,USA
1001096,25451 104TH AVE SE,KENT,WA,98030-6663,USA
1001097,8130 OLD SEWARD HWY,ANCHORAGE,AK,99518-3349,USA
1001100,1233 SE 174TH AVE,PORTLAND,OR,97233,USA
1001101,917 MARION ST,CENTRALIA,WA,98531-5428,USA
1001102,803 COWEEMAN LN,KELSO,WA,98626-2856,USA
1001105,1353 SW 10TH ST,NORTH BEND,WA,98045-7958,USA
1001106,13703 SE 202ND PL,KENT,WA,98042-3039,USA
1001107,19115 SE 314TH PL,KENT,WA,98042-9736,USA
1001108,1200 S JACKSON ST,SEATTLE,WA,98144-2026,USA
